bin,n,accuracy,mean_conf
"[0.0, 0.5)",28,0.4642857142857143,0.43934876578194754
"[0.5, 0.7)",65,0.7538461538461538,0.6106185793876648
"[0.7, 0.85)",61,0.9344262295081968,0.7768502381981396
"[0.85, 0.95)",75,1.0,0.9076738897959391
"[0.95, 1.0)",131,1.0,0.9817268857519135
