threshold,coverage,n_auto_decided,auto_accuracy,auto_errors,defer_rate
0.0,1.0,360,0.9805555555555555,7,0.0
0.025,1.0,360,0.9805555555555555,7,0.0
0.05,1.0,360,0.9805555555555555,7,0.0
0.07500000000000001,1.0,360,0.9805555555555555,7,0.0
0.1,1.0,360,0.9805555555555555,7,0.0
0.125,1.0,360,0.9805555555555555,7,0.0
0.15000000000000002,1.0,360,0.9805555555555555,7,0.0
0.17500000000000002,1.0,360,0.9805555555555555,7,0.0
0.2,1.0,360,0.9805555555555555,7,0.0
0.225,1.0,360,0.9805555555555555,7,0.0
0.25,1.0,360,0.9805555555555555,7,0.0
0.275,1.0,360,0.9805555555555555,7,0.0
0.30000000000000004,1.0,360,0.9805555555555555,7,0.0
0.325,1.0,360,0.9805555555555555,7,0.0
0.35000000000000003,0.9972222222222222,359,0.9805013927576601,7,0.002777777777777768
0.375,0.9944444444444445,358,0.9832402234636871,6,0.005555555555555536
0.4,0.9888888888888889,356,0.9887640449438202,4,0.011111111111111072
0.42500000000000004,0.9888888888888889,356,0.9887640449438202,4,0.011111111111111072
0.45,0.9833333333333333,354,0.9887005649717514,4,0.01666666666666672
0.47500000000000003,0.9833333333333333,354,0.9887005649717514,4,0.01666666666666672
0.5,0.9777777777777777,352,0.9886363636363636,4,0.022222222222222254
0.525,0.9722222222222222,350,0.9914285714285714,3,0.02777777777777779
0.55,0.9638888888888889,347,0.9942363112391931,2,0.036111111111111094
0.5750000000000001,0.95,342,0.9941520467836257,2,0.050000000000000044
0.6000000000000001,0.95,342,0.9941520467836257,2,0.050000000000000044
0.625,0.9472222222222222,341,0.9941348973607038,2,0.05277777777777781
0.65,0.9361111111111111,337,0.9970326409495549,1,0.06388888888888888
0.675,0.9305555555555556,335,0.9970149253731343,1,0.06944444444444442
0.7000000000000001,0.925,333,1.0,0,0.07499999999999996
0.7250000000000001,0.9111111111111111,328,1.0,0,0.0888888888888889
0.75,0.8888888888888888,320,1.0,0,0.11111111111111116
0.775,0.8666666666666667,312,1.0,0,0.1333333333333333
0.8,0.8388888888888889,302,1.0,0,0.1611111111111111
0.8250000000000001,0.8222222222222222,296,1.0,0,0.1777777777777778
0.8500000000000001,0.7805555555555556,281,1.0,0,0.21944444444444444
0.875,0.7361111111111112,265,1.0,0,0.26388888888888884
0.9,0.6861111111111111,247,1.0,0,0.3138888888888889
0.925,0.6333333333333333,228,1.0,0,0.3666666666666667
0.9500000000000001,0.55,198,1.0,0,0.44999999999999996
0.9750000000000001,0.3472222222222222,125,1.0,0,0.6527777777777778
1.0,0.0,0,1.0,0,1.0
