bin,n,accuracy,mean_conf
"[0.0, 0.5)",61,0.5081967213114754,0.41860163700385167
"[0.5, 0.7)",72,0.7361111111111112,0.5939798967705833
"[0.7, 0.85)",38,0.9736842105263158,0.7706669616071802
"[0.85, 0.95)",55,1.0,0.9058181296695362
"[0.95, 1.0)",134,1.0,0.9834422518068285
