bin,n,accuracy,mean_conf
"[0.0, 0.5)",8,0.625,0.4158659055829048
"[0.5, 0.7)",19,0.7894736842105263,0.5955904910438939
"[0.7, 0.85)",52,1.0,0.7859402344777033
"[0.85, 0.95)",83,1.0,0.9064904839159494
"[0.95, 1.0)",198,1.0,0.9797483270216469
