class,support,precision,recall,f1
crazing,60,1.0,1.0,1.0
inclusion,60,0.9818,0.9,0.9391
patches,60,1.0,1.0,1.0
pitted_surface,60,0.9672,0.9833,0.9752
rolled-in_scale,60,1.0,1.0,1.0
scratches,60,0.9375,1.0,0.9677
