bin,n,accuracy,mean_conf
"[0.0, 0.5)",29,0.4827586206896552,0.4334035824085104
"[0.5, 0.7)",36,0.8611111111111112,0.6091938813527426
"[0.7, 0.85)",61,0.9508196721311475,0.7798533429864978
"[0.85, 0.95)",85,0.9058823529411765,0.9084457313313203
"[0.95, 1.0)",149,0.9865771812080537,0.980141113268449
