bin,n,accuracy,mean_conf
"[0.0, 0.5)",26,0.34615384615384615,0.42488711843123805
"[0.5, 0.7)",52,0.75,0.5879106911329123
"[0.7, 0.85)",76,0.9868421052631579,0.772822086748324
"[0.85, 0.95)",56,1.0,0.9055144254650388
"[0.95, 1.0)",150,1.0,0.9832741260528565
